0,23,8
7,15,3
38,32,10
44,91,31
173,186,114
456,227,91
2977,194,117
379,309,98
157,340,129
79,519,120
59,829,150
144,1224,215
43,1381,144
17,1160,80
15,695,116
10,488,288
1,353,56
43,256,73
3,207,35
101,145,39
277,104,11
0,244,9
2,86,18
0,106,40
37,107,275
50,174,227
4,192,56
0,144,20
0,93,18
0,58,18
1,20,6
0,26,3
0,23,3
0,19,5
0,14,3
0,0,0
