Launches
49480.93322
48009.92615
45653.12563
42542.93626
38850.33779
34758.17698
30459.97527
26145.13627
21975.14275
18083.76964
14571.94889
11499.3861
8907.855071
6784.837936
5082.38871
3752.814153
2719.528291
1929.675805
1340.938846
911.9518786













